Entry Number,Broker Reference,Customer Name,Customer Code,Entry Filed Date,Release Date,Summary Date,Port of Entry,Port of Lading,Mode of Transport,Carrier,Bill of Lading,Container Number,Country of Origin Code,Country of Origin,MID,Invoice Tariff Line,Invoice Tariff - HTS Code,Invoice Tariff - Description,Invoice Line - Units,Invoice Line - UOM,Invoice Tariff - Entered Value,Invoice Tariff - Duty Rate (%),Invoice Tariff - Duty,Section 301 Code,Section 301 Duty,IEEPA Code,IEEPA Duty,MPF,HMF,"Total Duty, Taxes, Fees & Penalties",On Hold,Hold Reason,Pay Type,Entry Type
59561800009,BQMJ86846326096,Summit Athletic Gear,SAG,2024-12-09,2024-12-10,2024-12-18,2704 (Los Angeles),CNSHA (Shanghai),Ocean,MAERSK LINE,MSKU1499914,CGPO8038374,CN,China,CNFPV10851,1,6116.93.8800,"Synthetic fiber gloves, knitted",3472,DOZ/PRS,51367.45,18.6,9554.35,9903.88.15,3852.56,,0.0,177.94,64.21,13649.06,No,,Daily,01 - Consumption
59561800009,BQMJ86846326096,Summit Athletic Gear,SAG,2024-12-09,2024-12-10,2024-12-18,2704 (Los Angeles),CNSHA (Shanghai),Ocean,MAERSK LINE,MSKU1499914,CGPO8038374,CN,China,CNFPV10851,2,4202.92.3031,"Sports bags, outer surface textile",2827,NMB,90757.04,17.6,15973.24,9903.88.15,6806.78,,0.0,314.38,113.45,23207.85,No,,Daily,01 - Consumption
59561800009,BQMJ86846326096,Summit Athletic Gear,SAG,2024-12-09,2024-12-10,2024-12-18,2704 (Los Angeles),CNSHA (Shanghai),Ocean,MAERSK LINE,MSKU1499914,CGPO8038374,CN,China,CNFPV10851,3,9506.62.8040,Inflatable balls,2411,NMB,124496.0,0.0,0.0,9903.88.15,9337.2,,0.0,431.25,155.62,9924.07,No,,Statement,01 - Consumption
59561800009,BQMJ86846326096,Summit Athletic Gear,SAG,2024-12-09,2024-12-10,2024-12-18,2704 (Los Angeles),CNSHA (Shanghai),Ocean,MAERSK LINE,MSKU1499914,CGPO8038374,CN,China,CNFPV10851,4,6505.00.8015,Knitted caps/hats,1876,DOZ,116073.72,20.7,24027.26,9903.88.03,29018.43,,0.0,402.08,145.09,53592.86,No,,Daily,01 - Consumption
59561800009,BQMJ86846326096,Summit Athletic Gear,SAG,2024-12-09,2024-12-10,2024-12-18,2704 (Los Angeles),CNSHA (Shanghai),Ocean,MAERSK LINE,MSKU1499914,CGPO8038374,CN,China,CNFPV10851,5,6211.33.0056,"Men's track suits, man-made fibers",2998,DOZ,24816.79,16.0,3970.69,9903.88.15,1861.26,,0.0,85.97,31.02,5948.94,No,,Statement,01 - Consumption
59561800027,BQNK55890068783,Summit Athletic Gear,SAG,2024-11-08,2024-11-11,2024-11-21,2704 (Los Angeles),INMAA (Chennai),Ocean,EVERGREEN,MSKU1538552,UKBX6279418,IN,India,INFMX94259,1,4202.92.3031,"Sports bags, outer surface textile",1153,NMB,37370.81,17.6,6577.26,,0.0,,0.0,129.45,46.71,6753.42,No,,Daily,06 - FTZ
59561800027,BQNK55890068783,Summit Athletic Gear,SAG,2024-11-08,2024-11-11,2024-11-21,2704 (Los Angeles),INMAA (Chennai),Ocean,EVERGREEN,MSKU1538552,UKBX6279418,IN,India,INFMX94259,2,9506.62.8040,Inflatable balls,3281,NMB,54618.47,0.0,0.0,,0.0,,0.0,189.2,68.27,257.47,No,,Statement,06 - FTZ
59561800027,BQNK55890068783,Summit Athletic Gear,SAG,2024-11-08,2024-11-11,2024-11-21,2704 (Los Angeles),INMAA (Chennai),Ocean,EVERGREEN,MSKU1538552,UKBX6279418,IN,India,INFMX94259,3,6402.91.5050,"Athletic footwear, rubber/plastic outer sole",395,PRS,129234.88,20.0,25846.98,,0.0,,0.0,447.67,161.54,26456.19,No,,Statement,06 - FTZ
59561800027,BQNK55890068783,Summit Athletic Gear,SAG,2024-11-08,2024-11-11,2024-11-21,2704 (Los Angeles),INMAA (Chennai),Ocean,EVERGREEN,MSKU1538552,UKBX6279418,IN,India,INFMX94259,4,9506.62.8040,Inflatable balls,530,NMB,58022.71,0.0,0.0,,0.0,,0.0,200.99,72.53,273.52,No,,Daily,01 - Consumption
59561800062,BQLP99200452323,Summit Athletic Gear,SAG,2024-10-03,2024-10-03,2024-10-15,5301 (Houston),BDCGP (Chittagong),Ocean,CMA CGM,MSKU8294150,EASS9398441,BD,Bangladesh,BDTNC91959,1,6505.00.8015,Knitted caps/hats,4168,DOZ,91541.05,20.7,18949.0,,0.0,,0.0,317.1,114.43,19380.53,No,,Statement,01 - Consumption
